D0,GPIO_00
D1,GPIO_01
D2,GPIO_02
D3,GPIO_03
D4,GPIO_04
D5,GPIO_05
D6,GPIO_06
D7,GPIO_07
D8,GPIO_08
D9,GPIO_SD_00
D10,GPIO_SD_01
D11,GPIO_SD_02
D12,GPIO_SD_05
D13,GPIO_SD_12
D14,GPIO_SD_13
A0,GPIO_AD_02
A1,GPIO_AD_03
A2,GPIO_AD_04
A3,GPIO_AD_05
A4,GPIO_AD_06
LED,GPIO_11
SDA1, GPIO_AD_13
SCL1, GPIO_AD_14
SDA2, GPIO_AD_07
SCL2, GPIO_AD_08
SDI, GPIO_AD_09
SDO, GPIO_AD_10
CS0, GPIO_AD_11
SCK, GPIO_AD_12
USB_OTG1_PWR, GPIO_AD_00
BT0, GPIO_SD_04
BT1, GPIO_SD_03
RX, GPIO_09
TX, GPIO_10
RELAY1,GPIO_SD_12
RELAY2,GPIO_SD_13
MCK,GPIO_08
SCK_RX,GPIO_01
WS_RX,GPIO_02
SD_RX,GPIO_03
SCK_TX,GPIO_06
WS_TX,GPIO_07
SD_TX,GPIO_04
