CHG_ISET_PWM,PA0
BUTTONS_ADC,PA1
BT_ENABLE,PA2
CHG_IMON_ADC,PA3
SND_DAC,PA4
TLC_SCLK,PA5
TLC_SOUT,PA6
TLC_SIN,PA7
PORTB_EN,PA8
USB_VBUS,PA9
PORTA_EN,PA10
USB_DM,PA11
USB_DP,PA12
BAT_PWR_EN,PA13
PORT_3V3_EN,PA14
TLC_LAT,PA15
BAT_NTC,PB0
PORTF_M2,PB1
PORTD_EN,PB2
LSM6_SDA,PB3
LSM6_INT1,PB4
PORTE_EN,PB5
PORTC_M1,PB6
PORTC_M2,PB7
PORTD_M1,PB8
PORTD_M2,PB9
LSM6_SCL,PB10
,PB11
,PB12
,PB13
,PB14
TLC_GS_CLK,PB15
BAT_IMON_ADC,PC0
BAT_VMON_ADC,PC1
,PC2
,PC3
CHGOK_CENBTN_3V3OK_ADC,PC4
PORTF_EN,PC5
PORTE_M1,PC6
PORTE_M2,PC7
PORTF_M1,PC8
BT_SLOWCLK,PC9
SND_AMP_EN,PC10
,PC11
PORTD_TX,PC12
,PC13
,PC14
,PC15
PORTB_RX,PD0
PORTB_TX,PD1
PORTD_RX,PD2
BT_CTS,PD3
BT_RTS,PD4
BT_TX,PD5
BT_RX,PD6
,PD7
,PD8
,PD9
,PD10
,PD11
,PD12
,PD13
PORTF_RX,PD14
PORTF_TX,PD15
PORTC_RX,PE0
PORTC_TX,PE1
PORTE_RX,PE2
PORTE_TX,PE3
,PE4
PORTC_EN,PE5
,PE6
PORTA_RX,PE7
PORTA_TX,PE8
PORTA_M1,PE9
PORTE_RTS,PE10
PORTA_M2,PE11
,PE12
PORTB_M1,PE13
PORTB_M2,PE14
PORTF_RTS,PE15
,PF0
,PF1
,PF2
,PF3
,PF4
,PF5
,PF6
,PF7
,PF8
,PF9
,PF10
,PF11
,PF12
,PF13
,PF14
,PF15
,PG0
,PG1
,PG2
,PG3
,PG4
,PG5
,PG6
,PG7
,PG8
,PG9
,PG10
,PG11
,PG12
,PG13
,PG14
,PG15
,PH0
,PH1
