X1,PA2
X2,PA3
X3,PA0
X4,PA1
X5,PA4
X6,PA5
X7,PA6
X8,PA7
X9,PB6
X10,PB7
X11,PC4
X12,PC5
#X13,Reset
#X14,GND
#X15,3.3V
#X16,VIN
X17,PB3
X18,PC13
X19,PC0
X20,PC1
X21,PC2
X22,PC3
#X23,A3.3V
#X24,AGND
Y1,PC6
Y2,PC7
Y3,PB10
Y4,PB9
Y5,PB12
Y6,PB13
Y7,PB14
Y8,PB15
Y9,PA8
Y10,PB8
Y11,PB0
Y12,PB1
#Y13,Reset
#Y14,GND
#Y15,3.3V
#Y16,VIN
SW,PB3
LED_BLUE,PB4
LED_RED,PA13
LED_GREEN,PA14
LED_YELLOW,PA15
MMA_AVDD,PA10
MMA_INT,PB2
SD_D0,PC8
SD_D1,PC9
SD_D2,PC10
SD_D3,PC11
SD_CMD,PD2
SD_CK,PC12
SD_SW,PB5
USB_VBUS,PA9
USB_DM,PA11
USB_DP,PA12
USB_ID,PA10
OSC32_IN,PC14
OSC32_OUT,PC15
